frame_id,episode_id,episode_step,block_id,baseline_spearman,flash_spearman,difference_spearman,baseline_kendall,flash_kendall,difference_kendall
8,0,8,0,0.9569973380088773,0.8621273854815985,-0.09486995252727881,0.8725293485964443,0.7546503519512794,-0.11787899664516488
9,0,9,0,0.9402929019804841,0.8367349845157132,-0.10355791746477094,0.8610584002420805,0.7172314024308493,-0.1438269978112312
10,0,10,0,0.9400028341854696,0.8292485672429648,-0.11075426694250479,0.8619322310183947,0.6672595402972122,-0.19467269072118243
11,0,11,0,0.9213286443144248,0.8319223666989456,-0.08940627761547926,0.8272976063711369,0.6875238727711585,-0.13977373359997847
12,0,12,0,0.9466228568628978,0.861492620340402,-0.08513023652249585,0.8652883159462945,0.7499800730654231,-0.11530824288087138
13,0,13,0,0.9446647718003023,0.8138878330658419,-0.1307769387344604,0.862395726820596,0.6519202405202649,-0.21047548630033108
14,0,14,0,0.8583745432505334,0.8349153302727101,-0.023459212977823274,0.6995956038295815,0.6930462415879096,-0.006549362241671908
15,0,15,0,0.9067375658642824,0.8607288016782805,-0.04600876418600197,0.7893862224383408,0.7392493243604369,-0.05013689807790389
16,0,16,0,0.8472840755829796,0.8601222277556353,0.012838152172655715,0.6831771034489905,0.7276508113956914,0.04447370794670091
17,0,17,0,0.9522934133438283,0.9115390732615296,-0.04075434008229872,0.878668779193509,0.8012356767054676,-0.07743310248804147
18,0,18,0,0.9657512732694853,0.9111131576316627,-0.054638115637822615,0.9035663921726718,0.8117225864930513,-0.09184380567962047
19,0,19,0,0.9174890495186876,0.8825527267425262,-0.03493632277616143,0.8057573040738524,0.7689699155497652,-0.03678738852408714
20,0,20,0,0.9301860558186066,0.8765582058712346,-0.05362784994737202,0.8367493957846412,0.7420230490920403,-0.09472634669260094
21,0,21,0,0.9522934133438283,0.9222684488479064,-0.030024964495921957,0.878668779193509,0.8308613344003688,-0.04780744479314025
22,0,22,0,0.9244416494625792,0.8456879346197008,-0.07875371484287841,0.8339391737138538,0.7035895530819949,-0.13034962063185895
23,0,23,0,0.8576022283164475,0.8194364756494925,-0.03816575266695499,0.6521235987467636,0.6726625397597095,0.020538941012945844
24,0,24,0,0.7768936501370185,0.2162168688528007,-0.5606767812842178,0.6120084698771954,0.141272726289533,-0.47073574358766235
25,0,25,0,0.7099940022416067,0.6437769450377263,-0.06621705720388038,0.5239888072778897,0.40590682253921034,-0.11808198473867931
26,0,26,0,0.37155126542177347,0.34068627450980393,-0.030864990911969536,0.2435440935235262,0.2647058823529411,0.021161788829414913
27,0,27,0,0.41666666666666674,0.024524836001437192,-0.39214183066522956,0.2941176470588235,0.08118136450784207,-0.2129362825509814
28,0,28,0,0.45738819142680365,0.10055182760589249,-0.35683636382091116,0.34686583016987066,0.09594161260017699,-0.2509242175696937
29,0,29,0,-0.1692213684099166,-0.3543838802207674,-0.18516251181085078,-0.14022235687718174,-0.30258508589286587,-0.16236272901568413
30,0,30,0,-0.17412633561020405,-0.29656862745098045,-0.1224422918407764,-0.19926334924652145,-0.19117647058823525,0.008086878658286195
