frame_id,episode_id,episode_step,block_id,baseline_spearman,flash_spearman,difference_spearman,baseline_kendall,flash_kendall,difference_kendall
8,0,8,0,-0.8857604885650915,-0.8054284917539623,0.08033199681112924,-0.7486371059063726,-0.6618225213558055,0.08681458455056701
9,0,9,0,-0.8895240441604302,-0.8194127927546481,0.07011125140578212,-0.7546503519512794,-0.6866436491305119,0.06800670282076748
10,0,10,0,-0.9100059668642326,-0.8312908745167042,0.07871509234752838,-0.7984359711335656,-0.6870321854863924,0.11140378564717313
11,0,11,0,-0.9453812144043849,-0.8494060196892091,0.0959751947151758,-0.8513026502192871,-0.712448398544228,0.13885425167505905
12,0,12,0,-0.9161557198730665,-0.9387160398324665,-0.0225603199594,-0.8191780219091253,-0.8538387913963841,-0.034660769487258825
13,0,13,0,-0.9198883972702252,-0.901708556694527,0.018179840575698214,-0.8165350649652147,-0.8097503390415867,0.006784725923627999
14,0,14,0,-0.9519488572370167,-0.9473182286675195,0.004630628569497253,-0.8683248446821747,-0.889151633015708,-0.02082678833353324
15,0,15,0,-0.9740784917663731,-0.9546892730315171,0.019389218734855995,-0.9166984970282112,-0.9005516363645785,0.01614686066363269
16,0,16,0,-0.9827560387568889,-0.9751822353575064,0.007573803399382517,-0.9398255470157902,-0.9275204136012634,0.012305133414526881
17,0,17,0,-0.9814953330742389,-0.9715598018508236,0.009935531223415284,-0.928027636505318,-0.9240616554505461,0.003965981054771972
18,0,18,0,-0.978945010372561,-0.962533421879622,0.016411588492939,-0.9275204136012634,-0.90748521297303,0.020035200628233385
19,0,19,0,-0.9882892725687705,-0.9770939756580718,0.01119529691069876,-0.951005659660279,-0.9160783887156918,0.03492727094458714
20,0,20,0,-0.9633286358750528,-0.9640651651794606,-0.000736529304407818,-0.9039718476449649,-0.8932596002688613,0.010712247376103545
21,0,21,0,-0.9714178574967635,-0.965281651676227,0.006136205820536422,-0.9156880180284753,-0.9120606573487969,0.003627360679678393
22,0,22,0,-0.9666616504585074,-0.968907733833981,-0.0022460833754736065,-0.9014201887444077,-0.8999002935797085,0.001519895164699192
